,getGlobalAttributeDecl,setImportedGrammars,setValues,getGrammarDescription,addGlobalNotationDecl,addRedefinedGroupDecl,getSAXParser,getSubstitutionGroups,setContainsTypeID,getNotationDeclaration,getGlobalNotationDecl,hasIDConstraints,createUnboundedAnyWildcardSequenceParticle,getDocumentLocations,getRedefinedGroupDecls,createChoiceElementParticle,toXSModel,addGlobalTypeDecl,createAnyLaxWildcardParticle,getGlobalElementDecl,reset,addGlobalAttributeDecl,createUnboundedModelGroupParticle,addGlobalGroupDecl,getAttributeDeclaration,getUncheckedCTLocators,getAttributeGroup,addComplexTypeDecl,getS4SGrammar,getGlobalGroupDecl,createAnnotationElementDecl,isNamespaceAware,getGlobalAttributeGroupDecl,setIsAnonymous,resize,getNamespaceItem,addGlobalSimpleTypeDecl,createParticle,setName,getGlobalTypeDecl,getUncheckedComplexTypeDecls,getAnnotations,createAttrGrp,getIDConstraintDecl,setIsAbstractType,getComponents,removeDocument,getComponentsExt,addGlobalElementDeclAll,getModelGroupDefinition,addDocument,getElementDeclaration,getAnnotation,setImmutable,getRGLocators,isImmutable,getTargetNamespace,getImportedGrammars,getSchemaNamespace,resetComponents,addAnnotation,getIDCDefinition,getTypeDefinition,addGlobalAttributeGroupDecl,addIDConstraintDecl,getDOMParser,addGlobalComplexTypeDecl,setUncheckedTypeNum,addGlobalElementDecl,SG_SchemaNSExtended,SG_XSI,fGlobalElemDeclsExt,fAnnotations,fFullChecked,fAllGlobalElemDecls,fSubGroups,fComponentsExt,fGlobalGroupDecls,fGlobalAttrGrpDecls,fGlobalGroupDeclsExt,fDocuments,fGlobalElemDecls,SG_SchemaNS,fAnySimpleType,fGlobalIDConstraintDecls,fRedefinedGroupDecls,fImported,fSymbolTable,GLOBAL_COMP,EXTENDED_SCHEMA_FACTORY_CLASS,fComponents,GRAMMAR_XSI,fGlobalIDConstraintDeclsExt,fGrammarDescription,fComplexTypeDecls,INSTANCE,fAnyType,fGlobalNotationDeclsExt,fGlobalTypeDeclsExt,fGlobalNotationDecls,fRGCount,fNumAnnotations,fGlobalAttrDecls,GRAMMAR_XS,MAX_COMP_IDX,fSubGroupCount,INITIAL_SIZE,FULLSET_COUNT,BASICSET_COUNT,fCTCount,fDOMParser,REDEFINED_GROUP_INIT_SIZE,fGlobalAttrGrpDeclsExt,fGlobalTypeDecls,fLocations,fSAXParser,fRGLocators,fGlobalAttrDeclsExt,fTargetNamespace,INC_SIZE,fCTLocators,fIsImmutable
getGlobalNotationDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hasIDConstraints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
createUnboundedAnyWildcardSequenceParticle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getDocumentLocations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
getRedefinedGroupDecls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
createChoiceElementParticle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toXSModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalTypeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
createAnyLaxWildcardParticle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getGlobalElementDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
